player_id,season,utility_entropy,n_roles,max_entropy,utility_score
AaitIs00,2013,-0.0,1,0.0,0.0
AbanIs00,2023,-0.0,1,0.0,0.0
AbbrJa00,2015,-0.0,1,0.0,0.0
AbbrJa00,2016,-0.0,1,0.0,0.0
AbbrJa00,2017,-0.0,1,0.0,0.0
AbdeMe00,2016,-0.0,1,0.0,0.0
AbduAm00,2015,-0.0,1,0.0,0.0
AbduAm00,2016,-0.0,1,0.0,0.0
AbduAm00,2017,-0.0,1,0.0,0.0
AbduAm00,2018,-0.0,1,0.0,0.0
AbduAm00,2019,-0.0,1,0.0,0.0
AbduAm00,2020,-0.0,1,0.0,0.0
AbduAm00,2021,-0.0,1,0.0,0.0
AbduAm00,2022,-0.0,1,0.0,0.0
AbduAm00,2023,-0.0,1,0.0,0.0
AbduAm00,2024,-0.0,1,0.0,0.0
AbduHu99,2013,-0.0,1,0.0,0.0
AbduHu99,2014,-0.0,1,0.0,0.0
AbduHu99,2015,-0.0,1,0.0,0.0
AbduIs00,2013,-0.0,1,0.0,0.0
AbduIs00,2014,-0.0,1,0.0,0.0
AbduIs00,2015,-0.0,1,0.0,0.0
AbduIs00,2016,0.4605777205104957,2,0.6931471805599453,0.6644731933244352
AbduYa00,2023,-0.0,1,0.0,0.0
AbduYa00,2024,-0.0,1,0.0,0.0
AberMi00,2022,0.6829081047004717,2,0.6931471805599453,0.9852281360342515
AberMi00,2023,-0.0,1,0.0,0.0
AberMi00,2024,-0.0,1,0.0,0.0
AbouOd00,2014,-0.0,1,0.0,0.0
AbouOd00,2015,0.6886905739680003,2,0.6931471805599453,0.9935704757706079
AbouOd00,2016,-0.0,1,0.0,0.0
AbouOd00,2017,-0.0,1,0.0,0.0
AbouOd00,2018,-0.0,1,0.0,0.0
AbouOd00,2019,-0.0,1,0.0,0.0
AbouOd00,2020,-0.0,1,0.0,0.0
AbouOd00,2021,-0.0,1,0.0,0.0
AbouOd00,2022,-0.0,1,0.0,0.0
AbraDe00,2020,0.6615632381579821,2,0.6931471805599453,0.954434002924965
AbraJo00,2013,-0.0,1,0.0,0.0
AbraJo00,2014,-0.0,1,0.0,0.0
AbraJo01,2019,-0.0,1,0.0,0.0
AbraJo01,2020,0.7768838858001876,3,1.0986122886681098,0.707150187389615
AbraJo01,2021,-0.0,1,0.0,0.0
AbraJo01,2022,-0.0,1,0.0,0.0
AbraJo01,2023,-0.0,1,0.0,0.0
AbraJo01,2024,-0.0,1,0.0,0.0
AbraKr00,2024,-0.0,1,0.0,0.0
AchaDe00,2023,-0.0,1,0.0,0.0
AchaDe00,2024,-0.0,1,0.0,0.0
AchoEm00,2013,-0.0,1,0.0,0.0
AchoEm00,2014,-0.0,1,0.0,0.0
AchoSa00,2013,-0.0,1,0.0,0.0
AchoSa00,2014,-0.0,1,0.0,0.0
AchoSa00,2015,-0.0,1,0.0,0.0
AchoSa00,2016,-0.0,1,0.0,0.0
AchoSa00,2017,-0.0,1,0.0,0.0
AchoSa00,2018,-0.0,1,0.0,0.0
AchoSa00,2019,-0.0,1,0.0,0.0
AckeKe00,2015,-0.0,1,0.0,0.0
AckeKe00,2016,-0.0,1,0.0,0.0
AckeKe00,2017,-0.0,1,0.0,0.0
AdamAn00,2016,-0.0,1,0.0,0.0
AdamAn00,2017,-0.0,1,0.0,0.0
AdamAn00,2018,-0.0,1,0.0,0.0
AdamAn00,2019,-0.0,1,0.0,0.0
AdamAn00,2020,0.46080018141252443,2,0.6931471805599453,0.6647941365645837
AdamAn00,2021,-0.0,1,0.0,0.0
AdamAn00,2022,-0.0,1,0.0,0.0
AdamAn00,2023,-0.0,1,0.0,0.0
AdamDa01,2014,-0.0,1,0.0,0.0
AdamDa01,2015,-0.0,1,0.0,0.0
AdamDa01,2016,-0.0,1,0.0,0.0
AdamDa01,2017,-0.0,1,0.0,0.0
AdamDa01,2018,-0.0,1,0.0,0.0
AdamDa01,2019,-0.0,1,0.0,0.0
AdamDa01,2020,-0.0,1,0.0,0.0
AdamDa01,2021,-0.0,1,0.0,0.0
AdamDa01,2022,-0.0,1,0.0,0.0
AdamDa01,2023,-0.0,1,0.0,0.0
AdamDa01,2024,-0.0,1,0.0,0.0
AdamIs01,2024,-0.0,1,0.0,0.0
AdamJa00,2017,-0.0,1,0.0,0.0
AdamJa00,2018,-0.0,1,0.0,0.0
AdamJa00,2019,-0.0,1,0.0,0.0
AdamJa00,2020,0.30296020127806256,2,0.6931471805599453,0.43707917997058304
AdamJa00,2021,-0.0,1,0.0,0.0
AdamJa00,2022,-0.0,1,0.0,0.0
AdamJa00,2023,-0.0,1,0.0,0.0
AdamJa00,2024,-0.0,1,0.0,0.0
AdamJe00,2014,-0.0,1,0.0,0.0
AdamJe00,2015,0.6507087814925152,2,0.6931471805599453,0.9387743321221518
AdamJe01,2016,-0.0,1,0.0,0.0
AdamJe01,2017,-0.0,1,0.0,0.0
AdamJe01,2019,-0.0,1,0.0,0.0
AdamJo02,2013,-0.0,1,0.0,0.0
AdamJo03,2018,-0.0,1,0.0,0.0
AdamJo03,2019,-0.0,1,0.0,0.0
AdamJo03,2020,-0.0,1,0.0,0.0
AdamJo03,2021,-0.0,1,0.0,0.0
AdamKy00,2013,-0.0,1,0.0,0.0
AdamMa00,2018,-0.0,1,0.0,0.0
AdamMa00,2019,-0.0,1,0.0,0.0
AdamMa00,2020,-0.0,1,0.0,0.0
AdamMa00,2021,-0.0,1,0.0,0.0
AdamMa00,2022,-0.0,1,0.0,0.0
AdamMa00,2023,-0.0,1,0.0,0.0
AdamMa00,2024,-0.0,1,0.0,0.0
AdamMi02,2013,-0.0,1,0.0,0.0
AdamMi02,2014,-0.0,1,0.0,0.0
AdamMi02,2016,-0.0,1,0.0,0.0
AdamMi21,2013,-0.0,1,0.0,0.0
AdamMi21,2014,-0.0,1,0.0,0.0
AdamMi21,2015,-0.0,1,0.0,0.0
AdamMi21,2016,-0.0,1,0.0,0.0
AdamMi21,2017,-0.0,1,0.0,0.0
AdamMi21,2018,-0.0,1,0.0,0.0
AdamMi21,2019,-0.0,1,0.0,0.0
AdamMi98,2013,-0.0,1,0.0,0.0
AdamMo00,2017,-0.0,1,0.0,0.0
AdamMo00,2018,-0.0,1,0.0,0.0
AdamMo00,2019,-0.0,1,0.0,0.0
AdamMo00,2020,-0.0,1,0.0,0.0
AdamMo00,2021,-0.0,1,0.0,0.0
AdamMo00,2022,0.4069630466247191,2,0.6931471805599453,0.5871235691905463
AdamMo00,2023,-0.0,1,0.0,0.0
AdamMo00,2024,-0.0,1,0.0,0.0
AdamMy00,2021,-0.0,1,0.0,0.0
AdamMy00,2022,0.1861750100009486,2,0.6931471805599453,0.2685937636658217
AdamMy00,2023,-0.0,1,0.0,0.0
AdamMy00,2024,-0.0,1,0.0,0.0
AdamPh00,2013,-0.0,1,0.0,0.0
AdamPh00,2014,-0.0,1,0.0,0.0
AdamPh00,2015,-0.0,1,0.0,0.0
AdamRo01,2021,-0.0,1,0.0,0.0
AdamTo03,2022,0.44395889798434995,2,0.6931471805599453,0.6404973004805509
AdamTo03,2023,-0.0,1,0.0,0.0
AdamTo03,2024,-0.0,1,0.0,0.0
AdamTy00,2016,-0.0,1,0.0,0.0
AdamTy00,2017,-0.0,1,0.0,0.0
AdamTy00,2018,-0.0,1,0.0,0.0
AdamTy00,2019,-0.0,1,0.0,0.0
AdamTy00,2020,0.15281371164050614,2,0.6931471805599453,0.22046358396359428
AdamTy00,2021,-0.0,1,0.0,0.0
